%
%  Arff file example
%
@relation 'activity-recognition-data'
@attribute 'average_x' numeric
@attribute 'average_y' numeric
@attribute 'average_z' numeric 
@attribute 'standardDeviation_x' numeric
@attribute 'standardDeviation_y' numeric
@attribute 'standardDeviation_z' numeric 
@attribute 'averageAbsoluteDifference_x' numeric
@attribute 'averageAbsoluteDifference_y' numeric
@attribute 'averageAbsoluteDifference_z' numeric 
@attribute 'binnedDistribution1' numeric
@attribute 'binnedDistribution2' numeric
@attribute 'binnedDistribution3' numeric
@attribute 'binnedDistribution4' numeric
@attribute 'binnedDistribution5' numeric
@attribute 'binnedDistribution6' numeric
@attribute 'binnedDistribution7' numeric
@attribute 'binnedDistribution8' numeric
@attribute 'binnedDistribution9' numeric
@attribute 'binnedDistribution10' numeric
@attribute 'binnedDistribution11' numeric
@attribute 'binnedDistribution12' numeric
@attribute 'binnedDistribution13' numeric
@attribute 'binnedDistribution14' numeric
@attribute 'binnedDistribution15' numeric
@attribute 'binnedDistribution16' numeric
@attribute 'binnedDistribution17' numeric
@attribute 'binnedDistribution18' numeric
@attribute 'binnedDistribution19' numeric
@attribute 'binnedDistribution20' numeric
@attribute 'binnedDistribution21' numeric
@attribute 'binnedDistribution22' numeric
@attribute 'binnedDistribution23' numeric
@attribute 'binnedDistribution24' numeric
@attribute 'binnedDistribution25' numeric
@attribute 'binnedDistribution26' numeric
@attribute 'binnedDistribution27' numeric
@attribute 'binnedDistribution28' numeric
@attribute 'binnedDistribution29' numeric
@attribute 'binnedDistribution30' numeric
@attribute 'class' {'run','walk','stand','sit','down','up'}
@data
1.2781204,-9.719693,1.6316963,3.8359654,4.2108817,5.1050982,2.8609436,3.4536755,3.7381208,5.0,12.0,21.0,42.0,54.0,36.0,11.0,6.0,9.0,3.0,11.0,6.0,10.0,23.0,23.0,38.0,27.0,14.0,32.0,16.0,16.0,27.0,49.0,55.0,27.0,10.0,4.0,6.0,3.0,4.0,'walk'
1.4095148,-9.839401,1.3604809,4.229677,4.6845956,5.606576,3.1502633,3.863968,4.1715336,11.0,17.0,41.0,45.0,52.0,16.0,7.0,4.0,4.0,2.0,15.0,11.0,16.0,27.0,31.0,23.0,33.0,10.0,28.0,7.0,8.0,16.0,45.0,50.0,39.0,18.0,9.0,6.0,5.0,4.0,'walk'
1.2744815,-9.896097,1.6067973,4.2757506,4.5945973,5.455584,3.2449212,3.693521,3.9262621,11.0,20.0,30.0,59.0,35.0,18.0,11.0,8.0,4.0,4.0,13.0,14.0,24.0,39.0,37.0,32.0,17.0,20.0,1.0,3.0,2.0,3.0,17.0,42.0,70.0,34.0,13.0,11.0,2.0,6.0,'walk'
1.2020806,-9.849553,1.1482594,3.8153365,4.0557327,5.200316,2.8808124,3.2803392,3.7085516,3.0,13.0,30.0,53.0,55.0,27.0,8.0,5.0,4.0,1.0,9.0,5.0,12.0,33.0,27.0,36.0,35.0,11.0,24.0,8.0,19.0,33.0,53.0,51.0,21.0,4.0,10.0,2.0,3.0,5.0,'walk'
1.2840583,-9.968879,1.5487609,4.080698,4.424096,5.343288,3.0365074,3.5899854,3.8908255,9.0,14.0,32.0,54.0,40.0,27.0,7.0,8.0,3.0,6.0,12.0,4.0,22.0,36.0,37.0,30.0,20.0,19.0,17.0,2.0,8.0,17.0,44.0,70.0,25.0,13.0,10.0,5.0,6.0,3.0,'walk'
1.4771267,-9.959497,1.8222753,4.147345,4.3538184,5.699373,3.1014135,3.5533795,4.1454864,10.0,19.0,54.0,51.0,38.0,6.0,12.0,7.0,1.0,1.0,13.0,5.0,19.0,30.0,27.0,32.0,31.0,15.0,19.0,9.0,9.0,17.0,42.0,61.0,30.0,16.0,11.0,5.0,2.0,8.0,'walk'
1.3664186,-9.7183485,1.2103171,4.2318716,4.4957495,5.4609547,3.2376175,3.6784198,3.8001673,12.0,21.0,35.0,52.0,46.0,14.0,5.0,10.0,3.0,1.0,12.0,7.0,26.0,36.0,34.0,34.0,15.0,28.0,8.0,0.0,3.0,15.0,33.0,58.0,47.0,28.0,5.0,3.0,1.0,8.0,'walk'
1.2560941,-9.989182,1.4981953,3.621048,4.6681266,4.9837317,2.7391086,3.7893403,3.4486642,6.0,10.0,27.0,51.0,53.0,32.0,5.0,11.0,4.0,1.0,14.0,10.0,19.0,38.0,34.0,28.0,18.0,21.0,14.0,4.0,5.0,11.0,24.0,73.0,52.0,18.0,3.0,4.0,6.0,4.0,'walk'
1.35033,-9.77907,1.5091134,4.319145,4.3765182,5.3153763,3.192333,3.5139835,3.7563376,3.0,19.0,37.0,56.0,51.0,13.0,7.0,8.0,4.0,1.0,12.0,10.0,27.0,42.0,38.0,31.0,13.0,24.0,3.0,1.0,3.0,15.0,42.0,59.0,42.0,21.0,6.0,4.0,0.0,8.0,'walk'
1.2518799,-10.10832,1.216446,4.0903096,4.638793,5.4882903,3.1916664,3.7810187,3.8500838,6.0,18.0,40.0,43.0,51.0,19.0,11.0,5.0,6.0,0.0,13.0,12.0,16.0,28.0,34.0,24.0,29.0,10.0,24.0,11.0,6.0,7.0,30.0,57.0,62.0,16.0,6.0,7.0,4.0,5.0,'walk'
